CODE CLIENT,TOTAL_MONTANT_TTC,NB_FACTURES,MONTANT_MOY_FACTURE,MONTANT_MAX_FACTURE,NATURE_CLIENT,GOUVERNORAT,FREQUENCE_ACHAT,ANCIENNETE_CLIENT,JOURS_DEPUIS_DERNIER_ACHAT,TOTAL_MONTANT_REG,NB_REGLEMENTS,MONTANT_MOY_REG,NB_RETARDS,NB_MODES_PAIEMENT,RETARD_STD,RETARD_PONDERE,RATIO_PAIEMENT,PART_CA_CLIENT,SOLVABLE,NATURE_CLIENT_LABEL,GOUVERNORAT_LABEL
APS01,47602.0,2.0,23801.0,23801.0,ALFAPACK,Sfax,105.0,105.0,147.0,95338.538,17.0,5608.1492941176475,0.0,1.0,22.69505990176357,-43.90000269355924,2.0028,0.000607,1,ALFAPACK,Sfax
CAPM030001,0.0,0.0,0.0,0.0,INCONNU,INCONNU,0.0,0.0,0.0,25830.124,2.0,12915.062,0.0,1.0,0.0,-96.0,0.0,0.0,1,INCONNU,INCONNU
CAPS170001,4230.564,3.0,1410.188,1647.029,STEG,Sfax,24.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4e-05,1,STEG,Sfax
CAPT010001,372.087,1.0,372.087,372.087,SCN,Tunis,0.0,0.0,766.0,372.087,1.0,372.087,0.0,1.0,0.0,0.0,1.0,5e-06,1,SCN,Tunis
CAPT010011,0.0,0.0,0.0,0.0,INCONNU,INCONNU,0.0,0.0,0.0,2465.093,2.0,1232.5465,0.0,1.0,0.0,0.0,0.0,0.0,1,INCONNU,INCONNU
CAPT010012,732.148,1.0,732.148,732.148,GRN,Tunis,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9e-06,1,GRN,Tunis
CAPT010033,530.428,2.0,265.214,266.048,PAN,Tunis,1.0,1.0,714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7e-06,1,PAN,Tunis
CAPT010105,0.0,0.0,0.0,0.0,INCONNU,INCONNU,0.0,0.0,0.0,103.162,1.0,103.162,0.0,1.0,0.0,0.0,0.0,0.0,1,INCONNU,INCONNU
CAPT010134,0.0,0.0,0.0,0.0,INCONNU,INCONNU,0.0,0.0,0.0,76.123,1.0,76.123,0.0,1.0,0.0,0.0,0.0,0.0,1,INCONNU,INCONNU
CAPT010138,0.0,0.0,0.0,0.0,INCONNU,INCONNU,0.0,0.0,0.0,176.9,1.0,176.9,0.0,1.0,0.0,0.0,0.0,0.0,1,INCONNU,INCONNU
CAPT030015,0.0,0.0,0.0,0.0,INCONNU,INCONNU,0.0,0.0,0.0,152.885,1.0,152.885,0.0,1.0,0.0,0.0,0.0,0.0,1,INCONNU,INCONNU
CAPT030034,813.402,1.0,813.402,813.402,PAN,Ben Arous,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1,PAN,Ben Arous
CAPT030050,0.0,0.0,0.0,0.0,INCONNU,INCONNU,0.0,0.0,0.0,497.491,2.0,248.7455,0.0,1.0,0.0,0.0,0.0,0.0,1,INCONNU,INCONNU
CAPT040016,108.214,1.0,108.214,108.214,PAN,Mannouba,0.0,0.0,766.0,108.214,1.0,108.214,0.0,1.0,0.0,0.0,1.0,1e-06,1,PAN,Mannouba
CAPT070019,2087.468,1.0,2087.468,2087.468,GRN,Bizerte,0.0,0.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7e-05,1,GRN,Bizerte
CAPT070022,2414.072,2.0,1207.036,1208.036,PAN,Bizerte,42.0,42.0,647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1e-05,1,PAN,Bizerte
CAPT150040,1022.697,1.0,1022.697,1022.697,GRN,Sousse,0.0,0.0,435.0,1022.697,2.0,511.3485,0.0,1.0,0.0,-37.0,1.0,1.3e-05,1,GRN,Sousse
CAPT160006,1018.434,2.0,509.217,516.956,PAN,Mahdia,143.0,143.0,341.0,1018.434,2.0,509.217,0.0,1.0,0.0,0.0,1.0,1.3e-05,1,PAN,Mahdia
