feature,importance
NB_RETARDS,6.0940466
RETARD_PONDERE,0.7323915
RETARD_STD,0.62604636
NB_REGLEMENTS,0.60897535
NATURE_CLIENT,0.24593346
ANCIENNETE_CLIENT,0.24037386
TOTAL_MONTANT_REG,0.228593
GOUVERNORAT,0.22832598
RATIO_PAIEMENT,0.21944575
FREQUENCE_ACHAT,0.19573434
NB_MODES_PAIEMENT,0.12119308
MONTANT_MOY_REG,0.11830396
MONTANT_MAX_FACTURE,0.09552046
JOURS_DEPUIS_DERNIER_ACHAT,0.089143835
NB_FACTURES,0.06189772
TOTAL_MONTANT_TTC,0.055768803
MONTANT_MOY_FACTURE,0.05052088
PART_CA_CLIENT,0.014364474
